"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/6115870552d76.jpeg","image/jpeg","200","OK","Indexable","","0","0.184","",""
"https://www.getyourguide.com/en-gb/tokyo-l193/tokyo-sumo-show-and-experience-in-shinjuku-t1070616/?ranking_uuid=69334569-b433-4030-b55b-639e4e4a90d3","text/html; charset=utf-8","200","OK","Indexable","","1","0.183","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/64bd24a86278f.jpeg","image/jpeg","200","OK","Indexable","","0","0.141","",""
"https://www.getyourguide.com/en-gb/hanoi-l205/hanoi-ninh-binh-bai-dinhhoa-lu-trang-an-mua-cave-tour-t420319/?ranking_uuid=45a133d5-273b-4bec-b7e8-8047b681f2f4","text/html; charset=utf-8","200","OK","Indexable","","1","0.200","",""
"https://www.getyourguide.com/en-gb/bucharest-l111/therme-entrance-ticket-and-transfer-pick-up-and-drop-off-t492833/?ranking_uuid=657b2e72-bfc7-4294-89b4-925aa6def055","text/html; charset=utf-8","200","OK","Indexable","","1","0.105","",""
"https://www.getyourguide.com/en-gb/phuket-l32123/phuket-khao-sok-and-cheow-lan-lake-tour-with-lunch-t798664/?ranking_uuid=5c735f4a-fe8b-4c64-9d52-e64767c3d881","text/html; charset=utf-8","200","OK","Indexable","","1","0.224","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/94cdd9f9523ba989.jpeg","image/jpeg","200","OK","Indexable","","0","0.096","",""
"https://www.getyourguide.com/en-gb/vang-vieng-l2838/vang-vieng-paramotor-adventures-t1155120/?ranking_uuid=591eb725-686b-4697-8f85-e59d01f9ae14","text/html; charset=utf-8","200","OK","Indexable","","1","0.218","",""
"https://finalproject-adamstedman.netlify.app/_astro/tours.astro_astro_type_script_index_0_lang.DdS0v2e0.js","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.283","",""
"https://www.getyourguide.com/en-gb/coron-l105241/coron-calauit-safari-tour-private-tour-t583821/?ranking_uuid=03e57aa8-2a17-4c95-9e8d-a23849526c19","text/html; charset=utf-8","200","OK","Indexable","","1","0.140","",""
"https://www.getyourguide.com/en-gb/marrakesh-l208/from-marrakech-ouzoud-waterfalls-guided-hike-and-boat-trip-t388884/?ranking_uuid=282a8c6a-42c6-433c-a4a4-2aa4c8800274","text/html; charset=utf-8","200","OK","Indexable","","1","0.042","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/5f16d60b18470.jpeg","image/jpeg","200","OK","Indexable","","0","0.088","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/c0a6c30d219bca576b073c9670173223a14c765dbab7d3be697d343a5bc82fd3.jpeg","image/jpeg","200","OK","Indexable","","0","0.195","",""
"https://www.getyourguide.com/en-gb/everglades-city-l95255/everglades-mangrove-maze-airboat-tour-alligator-show-t548296/?ranking_uuid=7c363dac-9bb8-4717-905c-d9d6611e3499","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0.303","https://www.getyourguide.com/en-gb/everglades-city-l95255/everglades-mangrove-maze-airboat-tour-alligator-show-t548296/","HTTP Redirect"
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/fea1f058382affdd2d631301246d665ee1005bb0b412acb3281a06f777f2191a.jpg","image/jpeg","200","OK","Indexable","","0","0.102","",""
"https://www.getyourguide.com/en-gb/chiang-mai-l271/chiang-mai-elephant-sanctuary-waterfall-bamboo-rafting-t826521/?ranking_uuid=e940bcad-f801-49ed-96b3-91af35b749d5","text/html; charset=utf-8","200","OK","Indexable","","1","0.156","",""
"https://www.getyourguide.com/en-gb/madrid-l46/madrid-tour-bernabeu-entry-ticket-t194657/?ranking_uuid=11a53d07-489c-4759-ab13-615194866c97","text/html; charset=utf-8","200","OK","Indexable","","1","0.154","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/284c8deafd88b2faad7b15347326a8d0556a13f94b01bb41d57cae38e89b192b.jpg","image/jpeg","200","OK","Indexable","","0","0.139","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/9e25876b9a292582f4e6a988d4fda02b54d72309b246fae77e67effaa6713948.jpg","image/jpeg","200","OK","Indexable","","0","0.120","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/0aa5a093cf4fa9fac5ab38f2e6612656ad5193f015ce58ff49c58634150ee6f4.jpeg","image/jpeg","200","OK","Indexable","","0","0.119","",""
"https://www.getyourguide.com/en-gb/phnom-penh-l273/the-killing-field-and-s21-half-day-tour-t442788/?ranking_uuid=2839c966-4310-4aaa-9dc1-a627b1a2696f","text/html; charset=utf-8","200","OK","Indexable","","1","0.147","",""
"https://cdn.getyourguide.com/image/format=auto,fit=crop,gravity=auto,quality=60,width=270,height=180,dpr=2/tour_img/2b552f0b2dc7e24eb3983acd99dc14921c57b0f590c46f5fbeb1c9f32b994333.jpg","image/jpeg","200","OK","Indexable","","0","0.093","",""
"https://www.getyourguide.com/en-gb/paris-l16/disneyland-paris-2-parks-ticket-1-2-3-4-5-day-t395320/?ranking_uuid=e4b6039f-4945-4be8-9117-f81c210d0a52","text/html; charset=utf-8","200","OK","Indexable","","1","0.041","",""
